k,total_count,success_count,success_rate,expected_path_match_count,expected_path_match_rate,avg_visited_count,avg_path_length,avg_time
2,10,0,0.0,0,0.0,3.0,0.0,8.57999548316002e-06
70,10,6,0.6,6,0.6,7.2,2.4,1.2009998317807914e-05
85,10,9,0.9,9,0.9,7.8,3.6,2.1720014046877623e-05
86,10,9,0.9,9,0.9,7.8,3.6,1.529998844489455e-05
87,10,9,0.9,9,0.9,7.8,3.6,2.0260002929717303e-05
88,10,10,1.0,10,1.0,8.0,4.0,1.4569994527846575e-05
89,10,10,1.0,10,1.0,8.0,4.0,2.007998991757631e-05
90,10,10,1.0,10,1.0,8.0,4.0,1.6349984798580407e-05
100,10,10,1.0,10,1.0,8.0,4.0,1.9089994020760058e-05
